keys,en
CFG_FIELD_R3_MAX_FORCES_LOSS,max_forces_loss
CFG_FIELD_R3_DECAY_ON_RETREAT,decay_on_retreat
CFG_FIELD_R4_BRANCH_CHANCE_BASE,branch_chance_base
CFG_FIELD_R4_BRANCH_PER_DEPTH,branch_per_depth
CFG_FIELD_R4_MAX_BRANCH_DEPTH,max_branch_depth
CFG_FIELD_R4_VISION_RADIUS,vision_radius
CFG_FIELD_R4_VISION_TIGHTEN_PER_DEPTH,vision_tighten_per_depth
CFG_FIELD_R4_FOG_ENABLED,fog_enabled
CFG_FIELD_R4_LOST_PROXY_THRESHOLD,lost_proxy_threshold
CFG_SEC_LVL,LVL · Level Scale
CFG_GLOSS_LVL,how many rooms + how big each room is (bigger = longer to cross). ON also adds larger room pieces
CFG_CHIP_LVL_SUMMARY,count {count}, size x{mult}
CFG_LVL_COUNT_BASE,base
CFG_FIELD_LVL_ROOM_COUNT,room_count
CFG_FIELD_LVL_SIZE_MULT,size_mult
CFG_FIELD_LVL_LOOT_DENSITY_PER_AREA,loot_density_per_area
CFG_FIELD_LVL_CORRIDOR_WEIGHT_MULT,corridor_weight_mult
CFG_FIELD_LVL_SHORT_CORRIDORS,short_corridors (drop long hall)
CFG_TRAP_WARN,"⚠ enabled but inert (won't fire): {traps}"
CFG_TRAP_R3_NO_THRESHOLDS,R3 (no threshold levels)
CFG_TRAP_R4_NO_EFFECT,R4 (no maze/vision/lost — inert)
CFG_TRAP_R1_NO_SPAWN,R1 (0 hazards spawn)
CFG_TRAP_R1_CATCH_RADIUS_TOO_SMALL,R1 (catch radius < 24px)
CFG_SEC_QUOTA,K2 · Per-run Quota
CFG_GLOSS_QUOTA,a money quota each run must meet or the meta-save wipes (roguelite stakes)
CFG_FIELD_QUOTA_BASE,base ($, run #1)
CFG_FIELD_QUOTA_STEP,step (+$/run met)
CFG_FIELD_QUOTA_CHECK_TIMING,check timing
CFG_FIELD_QUOTA_BASIS,met basis
CFG_SEC_CAM,K3 · Camera
CFG_GLOSS_CAM,fixed visible world-units regardless of screen resolution
CFG_FIELD_CAM_VISIBLE_WORLD_WIDTH,visible width (px)
CFG_FIELD_CAM_ZOOM_POLICY,zoom policy
CFG_SEC_TIMER,K4 · Dive Timer
CFG_GLOSS_TIMER,configurable dive length + a one-shot near-end warning
CFG_FIELD_TIMER_LENGTH_S,length (s)
CFG_FIELD_TIMER_WARNING_THRESHOLD_S,warn at (s left)
CFG_FIELD_TIMER_WARNING_CHANNEL,warn channel
CFG_SEC_HPP,K5a · Ping-Pong Hazard
CFG_GLOSS_HPP,bounces off room walls; lethal on contact
CFG_FIELD_HPP_BASE_COUNT,base count
CFG_FIELD_HPP_COUNT_PER_DEPTH,count / depth
CFG_FIELD_HPP_SPEED,speed (px/s)
CFG_FIELD_HPP_PER_ROOM_CAP,per-room cap
CFG_SEC_HBOMB,K5b · Bomb Hazard
CFG_GLOSS_HBOMB,proximity pulse then explodes; kills in blast radius
CFG_FIELD_HBOMB_BASE_COUNT,base count
CFG_FIELD_HBOMB_COUNT_PER_DEPTH,count / depth
CFG_FIELD_HBOMB_PROXIMITY_RADIUS,proximity (px)
CFG_FIELD_HBOMB_PULSE_SECONDS,pulse (s)
CFG_FIELD_HBOMB_BLAST_RADIUS,blast radius (px)
CFG_FIELD_HBOMB_PER_ROOM_CAP,per-room cap
CFG_SEC_HSPIKE,K5c · Rotating Spikes
CFG_GLOSS_HSPIKE,rotates in place; lethal on contact with the arm
CFG_FIELD_HSPIKE_BASE_COUNT,base count
CFG_FIELD_HSPIKE_COUNT_PER_DEPTH,count / depth
CFG_FIELD_HSPIKE_ROTATION_SPEED,rotation (deg/s)
CFG_FIELD_HSPIKE_ARM_LENGTH,arm length (px)
CFG_FIELD_HSPIKE_PER_ROOM_CAP,per-room cap
CFG_SEC_EXIT,K7 · Exits
CFG_GLOSS_EXIT,random/multiple exits instead of a single fixed gate
CFG_FIELD_EXIT_BASE_COUNT,base count
CFG_FIELD_EXIT_COUNT_PER_DEPTH,count / depth
CFG_FIELD_EXIT_KEEP_ONE_AT_SPAWN,keep one at spawn
CFG_FIELD_EXIT_MAX_COUNT,max count
CFG_SEC_THROW,L1 · Throwing
CFG_GLOSS_THROW,highlight an inventory item (Q/E) and throw it (Space) to kill a hazard
CFG_FIELD_THROW_SPEED,speed (px/s)
CFG_FIELD_THROW_MAX_RANGE,max range (px)
CFG_FIELD_R1_SPAWN_ROOM_ONLY,spawn-room patrol
CFG_FIELD_R1_PATROL_SPEED,patrol speed (px/s)
CFG_FIELD_HPP_KILLS,kills on contact
CFG_FIELD_HBOMB_KILLS,kills on contact
CFG_FIELD_HSPIKE_KILLS,kills on contact
CFG_TAB_HAZARDS,Hazards
CFG_TAB_LEVELGEN,Level Generation
CFG_TAB_VISION,Vision
CFG_TAB_TIMEQUOTA,Timer & Quota
CFG_TAB_EXPRETURN,Exposure & Return
CFG_TAB_THROWCAM,Throw & Camera
CFG_TAB_META,Meta
CFG_SEC_R4_VISION,R4 · Vision / Fog
CFG_GLOSS_R4_VISION,limited sight + fog + getting-lost proxy (the navigation-pressure half of R4)
CFG_R4_VISION_GATED,(gated by the R4 master — enable R4 in Level Generation)
CFG_EXPORT_TELEMETRY,Export telemetry
CFG_EXPORT_DONE,Downloaded {name}
CFG_EXPORT_EMPTY,No telemetry to export yet
CFG_DEBUG_PLAYER_ART,Player art (debug)
CFG_TAB_PLAYER,Player
CFG_PLAYER_HEADER,Player (debug)
CFG_PLAYER_LOCK_ON_PICKUP,Lock on pickup
CFG_PLAYER_PICKUP_ON_REJECT,Animate pickup on reject
CFG_PLAYER_LOCK_MODE,Lock mode
CFG_PLAYER_LOCK_MODE_CLIP,Clip-driven
CFG_PLAYER_LOCK_MODE_FIXED,Fixed
CFG_PLAYER_PICKUP_LOCK_S,Pickup lock (s)
CFG_PLAYER_THROW_LOCK_S,Throw lock (s)
CFG_TAB_OPPOSITIONS,Oppositions
CFG_DEFS_STAGING_NOTE,"Sections stage config-enabled defs for the NEXT run, ADDED on top of the band's own deck. Empty = the config adds nothing (band decks still apply; on the default band-1 portal nothing loads — the all-off baseline)."
CFG_DEFS_EMPTY,(no opposition defs found in data/oppositions)
CFG_DEF_CHIP_ON,ENABLED · {n} overrides
CFG_DEF_RESPAWN,Respawn live instances (marks run dirty)
CFG_DEF_RESPAWN_TIP,"In-dive only, and only with live instances of this def"
CFG_DEF_CLEAR_OVERRIDES,Clear overrides
CFG_DEF_OVERRIDE_TIP,override staged; Reset clears
CFG_GLOSS_DEF_PURSUER,def twin of the R1 pursuer (the legacy r1_ knobs still drive the legacy lane in M1.9)
CFG_GLOSS_DEF_PINGPONG,def twin of the K5a ping-pong bouncer (legacy hpp_ knobs drive the legacy lane)
CFG_GLOSS_DEF_BOMB,def twin of the K5b proximity bomb (legacy hbomb_ knobs drive the legacy lane)
CFG_GLOSS_DEF_SPIKE,def twin of the K5c rotating spikes (legacy hspike_ knobs drive the legacy lane)
